Order #,Date Seen,Title,Letter Rating,Score,Year Watched,Location,Format,Release Year,Rotten Tomatoes,Length (Minutes),RT/Minute,Poster URL,Genres
1,1990s,"Godfather, The",A+,20.2,Pre-2006,London,VHS,1972,97%,175,57%,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"Drama, Crime"
2,1990s,Hoop Dreams,A+,20.19,Pre-2006,Boston,VHS,1994,98%,171,57%,https://image.tmdb.org/t/p/w500/gLzHl2XBtVwycl8DxdOXRHPm8G3.jpg,Documentary
3,2000s,Almost Famous,A/A+,19.18,Pre-2006,Palo Alto,DVD,2000,91%,122,72%,https://image.tmdb.org/t/p/w500/3rrkyLYbgLj84AYvjhdcJot4JPx.jpg,"Drama, Music"
4,1980s,Jaws,A,18.17,Pre-2006,London,VHS,1975,97%,130,77%,https://image.tmdb.org/t/p/w500/lxM6kqilAdpdhqUl2biYp5frUxE.jpg,"Horror, Thriller, Adventure"
5,1990s,Goodfellas,A,18.16,Pre-2006,London,VHS,1990,93%,128,75%,https://image.tmdb.org/t/p/w500/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,"Drama, Crime"
6,October-10,"Social Network, The",A,18.15,2010,Peninsula,Theatre,2010,96%,120,80%,https://image.tmdb.org/t/p/w500/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,Drama
7,February-20,Parasite,A,18.14,2020,San Fran,Theatre,2019,99%,132,75%,https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,"Comedy, Thriller, Drama"
8,1980s,Stand By Me,A,18.13,Pre-2006,London,VHS,1986,92%,88,103%,https://image.tmdb.org/t/p/w500/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,"Crime, Drama"
9,1980s,Ferris Bueller's Day Off,A,18.12,Pre-2006,London,VHS,1986,83%,103,82%,https://image.tmdb.org/t/p/w500/9LTQNCvoLsKXP0LtaKAaYVtRaQL.jpg,Comedy
10,1980s,Back to the Future,A,18.11,Pre-2006,London,Theatre,1985,93%,118,81%,https://image.tmdb.org/t/p/w500/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg,"Adventure, Comedy, Sci Fi"
11,1990s,12 Angry Men,A,18.1,Pre-2006,London,VHS,1957,100%,96,104%,https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,Drama
12,June-02,About A Boy,A,18.09,Pre-2006,London,Theatre,2002,93%,102,92%,https://image.tmdb.org/t/p/w500/optezspqJjHI9WyC8brY96zbcdt.jpg,"Drama, Comedy, Romance"
13,January-08,All About Eve,A,18.08,2008,Boston,DVD,1950,99%,140,71%,https://image.tmdb.org/t/p/w500/blBzZaatPWVuWpXEnPscMA4Xp6m.jpg,Drama
14,1990s,"American President, The",A,18.07,Pre-2006,Stanford,Theatre,1995,91%,116,77%,https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,"Comedy, Drama, Romance"
15,December-01,"Beautiful Mind, A",A,18.06,Pre-2006,Florida,Theatre,2001,74%,136,57%,https://image.tmdb.org/t/p/w500/rEIg5yJdNOt9fmX4P8gU9LeNoTQ.jpg,"Drama, Romance"
16,April-97,Braveheart,A,18.05,Pre-2006,Stanford,VHS,1995,76%,177,43%,https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg,"Action, Drama, History, War"
17,August-94,Forrest Gump,A,18.04,Pre-2006,Boston,Theatre,1994,75%,157,46%,https://image.tmdb.org/t/p/w500/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,"Comedy, Drama, Romance"
