Order #,Release Year,Rotten Tomatoes,Length (Minutes)
1,1972,97%,175
2,1994,98%,171
3,2000,91%,122
4,1975,97%,130
5,1990,93%,128
6,2010,96%,120
7,2019,99%,132
8,1986,92%,88
9,1986,83%,103
10,1985,93%,118
11,1957,100%,96
12,2002,93%,102
13,1950,99%,140
14,1995,91%,116
15,2001,74%,136
16,1995,76%,177
17,1994,75%,157
18,2003,89%,137
19,1940,100%,176
20,1994,89%,145
21,1974,,130
22,2008,78%,96
23,1978,86%,183
24,1974,,200
25,1940,100%,129
26,2004,83%,110
27,2010,87%,148
28,1989,84%,126
29,2006,87%,123
30,1970,92%,171
31,1980,,124
32,2009,98%,96
33,1987,72%,102
34,1998,84%,118
35,2013,92%,139
36,2005,85%,140
37,1987,72%,113
38,1988,98%,98
39,2015,89%,130
40,2010,85%,108
41,2007,92%,115
42,2014,97%,165
43,2006,94%,144
44,2003,,130
45,1995,,97
46,1986,,97
47,2008,94%,152
48,1993,94%,103
49,1988,89%,112
50,2016,94%,98
51,1999,92%,102
52,2015,,108
53,1992,84%,138
54,1988,96%,108
55,2008,93%,122
56,2013,89%,102
57,1993,96%,130
58,1990,,120
59,1993,96%,128
60,1993,94%,133
61,2006,93%,96
62,2007,83%,148
63,2007,97%,82
64,2016,91%,128
65,2006,91%,141
66,2006,92%,137
67,2001,,132
68,2015,97%,97
69,1987,92%,114
70,1999,84%,124
71,2019,86%,159
72,2015,,96
73,1992,72%,117
74,1981,94%,115
75,1954,99%,112
76,1993,96%,134
77,2008,67%,119
78,2018,,117
79,1977,82%,125
80,2012,,5
81,1999,69%,113
82,2017,,115
83,1962,93%,129
84,2022,96%,131
85,2010,,103
86,1995,,42
87,1999,,92
88,1994,72%,141
89,2009,90%,109
90,2004,88%,85
91,2008,99%,105
92,1999,87%,122
93,2007,81%,157
94,1973,95%,110
95,1995,94%,140
96,2002,,94
97,2004,86%,170
98,2005,,95
99,2000,93%,90
100,1984,,103
101,2008,,106
102,2006,64%,143
103,2013,90%,98
104,1991,96%,112
105,1979,95%,101
106,2015,91%,135
107,1957,96%,161
108,1998,42%,100
109,1993,84%,144
110,2006,74%,116
111,2007,82%,102
112,2002,87%,113
113,2021,94%,111
114,2005,83%,129
115,1997,69%,150
116,1993,75%,98
117,2004,73%,112
118,2015,95%,132
119,1973,91%,143
120,1991,81%,107
121,2006,91%,151
122,1944,97%,107
123,2015,92%,105
124,2010,96%,86
125,1987,74%,119
126,2003,99%,100
127,1994,92%,117
128,2018,97%,97
129,1997,96%,91
130,2008,85%,102
131,2007,,115
132,1966,,161
133,1978,65%,110
134,2018,77%,130
135,2007,78%,138
136,2013,95%,126
137,2006,66%,109
138,2013,,146
139,2011,93%,126
140,2016,,101
141,2017,92%,110
142,2004,,115
143,2009,,152
144,1999,96%,157
145,2008,94%,126
146,1934,98%,105
147,2012,,81
148,2019,68%,122
149,2008,87%,88
150,1992,88%,112
151,1987,,22
152,1989,82%,114
153,2014,,85
154,1989,,105
155,2008,55%,108
156,1966,89%,120
157,1962,97%,126
158,2000,93%,113
159,2007,90%,119
160,2016,98%,111
161,2005,98%,88
162,1994,,83
163,1990,63%,97
164,2014,95%,117
165,2001,83%,116
166,2016,,464
167,19,,108
168,2023,93%,180
169,2018,,105
170,2003,79%,143
171,2013,,140
172,2006,77%,130
173,1997,,109
174,1994,92%,154
175,2018,96%,90
176,1996,67%,136
177,1985,39%,91
178,1984,85%,106
179,2013,89%,123
180,1991,95%,118
181,2016,95%,106
182,2008,92%,120
183,2013,92%,95
184,1994,95%,116
185,2019,,129
186,2015,97%,129
187,2018,90%,135
188,2009,94%,127
189,1983,83%,131
190,2015,93%,136
191,2015,85%,122
192,1980,89%,127
193,2016,84%,122
194,2005,72%,128
195,1983,81%,132
196,2005,86%,92
197,2010,93%,104
198,1998,84%,119
199,1949,99%,104
200,2018,96%,96
201,2000,93%,147
202,2008,80%,96
203,2008,,103
204,2005,83%,136
205,1995,81%,103
206,2014,94%,106
207,2000,81%,107
208,2017,93%,141
209,2011,86%,131
210,2020,,119
211,2011,93%,100
212,1999,72%,97
213,2003,80%,124
214,2014,84%,110
215,2009,86%,95
216,1996,66%,149
217,2002,86%,125
218,2023,93%,112
219,1997,78%,124
220,2021,93%,93
221,1984,90%,160
222,2006,68%,118
223,1999,62%,95
224,2015,,134
225,2003,42%,106
226,1977,97%,93
227,2015,83%,115
228,1961,,95
229,2013,82%,122
230,2023,,165
231,1997,86%,139
232,2007,83%,123
233,2006,68%,143
234,2020,76%,123
235,2014,,89
236,1942,91%,69
237,2008,79%,110
238,2008,,114
239,1992,56%,127
240,2023,,220
241,2013,98%,108
242,1995,100%,101
243,1989,,90
244,2014,91%,119
245,2001,77%,144
246,2007,70%,93
247,1973,,90
248,2016,91%,85
249,2008,90%,96
250,1997,91%,155
251,2019,96%,105
252,2002,84%,119
253,1999,83%,97
