Film Title,Year,Your Rating,RT Link,RT Score (Fill In)
The Running Man,2025,7,https://www.rottentomatoes.com/m/the_running_man,
Federer: 12 Final Days,2024,12,https://www.rottentomatoes.com/m/federer_12_final_days,
Mean Girls: The Musical,2024,10,https://www.rottentomatoes.com/m/mean_girls_the_musical,
Road House,2024,13,https://www.rottentomatoes.com/m/road_house,
Road House,2024,10,https://www.rottentomatoes.com/m/road_house,
Three Amigos,2024,12,https://www.rottentomatoes.com/m/three_amigos,
48 Hours,2023,12,https://www.rottentomatoes.com/m/48_hours,
"Are you there god? It's me, Margaret",2023,10,https://www.rottentomatoes.com/m/are_you_there_god_its_me_margaret,
Arnold,2023,14,https://www.rottentomatoes.com/m/arnold,
Beckham,2023,14,https://www.rottentomatoes.com/m/beckham,
Peter Pan and Wendy,2023,8,https://www.rottentomatoes.com/m/peter_pan_and_wendy,
Robbie Williams,2023,11,https://www.rottentomatoes.com/m/robbie_williams,
Scream II,2023,10,https://www.rottentomatoes.com/m/scream_ii,
6 Days and 7 Nights,2022,10,https://www.rottentomatoes.com/m/6_days_and_7_nights,
About Last Night,2022,12,https://www.rottentomatoes.com/m/about_last_night,
"Confess, Fletch",2022,13,https://www.rottentomatoes.com/m/confess_fletch,
Interstellar,2022,14,https://www.rottentomatoes.com/m/interstellar,
Ronnie Coleman: The King,2022,8,https://www.rottentomatoes.com/m/ronnie_coleman_the_king,
Tar,2022,13,https://www.rottentomatoes.com/m/tar,
The Year I Started Masturbating,2022,8,https://www.rottentomatoes.com/m/the_year_i_started_masturbating,
Uncharted,2022,10,https://www.rottentomatoes.com/m/uncharted,
Animal House,2021,12,https://www.rottentomatoes.com/m/animal_house,
Don't Look Up,2021,11,https://www.rottentomatoes.com/m/dont_look_up,
Encanto,2021,14,https://www.rottentomatoes.com/m/encanto,
Untold: Breaking Point),2021,10,https://www.rottentomatoes.com/m/untold_breaking_point,
1917,2020,14,https://www.rottentomatoes.com/m/1917,
Becoming,2020,13,https://www.rottentomatoes.com/m/becoming,
"Gentlemen,The",2020,13,https://www.rottentomatoes.com/m/gentlementhe,
Miss Americana,2020,12,https://www.rottentomatoes.com/m/miss_americana,
Music & Lyrics,2020,12,https://www.rottentomatoes.com/m/music_lyrics,
Star Wars: The Rise of Skywalker,2020,14,https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
The Simpsons,2020,12,https://www.rottentomatoes.com/m/the_simpsons,
El Camino: A Breaking Bad movie,2019,13,https://www.rottentomatoes.com/m/el_camino_a_breaking_bad_movie,
Ford  vs. Ferrari,2019,14,https://www.rottentomatoes.com/m/ford_vs_ferrari,
Halloween III,2019,6,https://www.rottentomatoes.com/m/halloween_iii,
Kim Swims,2019,12,https://www.rottentomatoes.com/m/kim_swims,
"Yes, God, Yes",2019,12,https://www.rottentomatoes.com/m/yes_god_yes,
Ocean's 8,2018,10,https://www.rottentomatoes.com/m/oceans_8,
Paddington 2,2018,15,https://www.rottentomatoes.com/m/paddington_2,
Studio 54: The Documentary,2018,8,https://www.rottentomatoes.com/m/studio_54_the_documentary,
The Incredibles 2,2018,14,https://www.rottentomatoes.com/m/the_incredibles_2,
The Redeemed and the Dominant: Fittest on Earth,2018,12,https://www.rottentomatoes.com/m/the_redeemed_and_the_dominant_fittest_on_earth,
When Harry Met Sally,2018,14,https://www.rottentomatoes.com/m/when_harry_met_sally,
Born Strong,2017,10,https://www.rottentomatoes.com/m/born_strong,
Doctor Strange,2017,10,https://www.rottentomatoes.com/m/doctor_strange,
Losing Sight of Shore,2017,12,https://www.rottentomatoes.com/m/losing_sight_of_shore,
Moana,2017,13,https://www.rottentomatoes.com/m/moana,
Nature Boy,2017,10,https://www.rottentomatoes.com/m/nature_boy,
The Founder,2017,13,https://www.rottentomatoes.com/m/the_founder,
"Three Billboards outside Ebbing, Missouri",2017,16,https://www.rottentomatoes.com/m/three_billboards_outside_ebbing_missouri,
Batteries Not Included,2016,10,https://www.rottentomatoes.com/m/batteries_not_included,
"Crouching Tiger, Hidden Dragon",2016,11,https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon,
David Bowie: The Man Who Changed The World,2016,10,https://www.rottentomatoes.com/m/david_bowie_the_man_who_changed_the_world,
Eye in the Sky,2016,14,https://www.rottentomatoes.com/m/eye_in_the_sky,
Fantastic Lies,2016,13,https://www.rottentomatoes.com/m/fantastic_lies,
Fittest on Earth,2016,10,https://www.rottentomatoes.com/m/fittest_on_earth,
My Beautiful Broken Brain,2016,13,https://www.rottentomatoes.com/m/my_beautiful_broken_brain,
O.J. Simpson: Made in America,2016,15,https://www.rottentomatoes.com/m/oj_simpson_made_in_america,
The Hunt for the Wilderpeople,2016,15,https://www.rottentomatoes.com/m/the_hunt_for_the_wilderpeople,
The Nutty Professor II,2016,10,https://www.rottentomatoes.com/m/the_nutty_professor_ii,
Thirteen,2016,14,https://www.rottentomatoes.com/m/thirteen,
5 to 7,2015,7,https://www.rottentomatoes.com/m/5_to_7,
All Work All Play,2015,11,https://www.rottentomatoes.com/m/all_work_all_play,
American Sniper,2015,14,https://www.rottentomatoes.com/m/american_sniper,
"Avengers, The: Age of Ultron",2015,10,https://www.rottentomatoes.com/m/avengers_the_age_of_ultron,
Back in Time,2015,11,https://www.rottentomatoes.com/m/back_in_time,
Bladerunner,2015,10,https://www.rottentomatoes.com/m/bladerunner,
Champs,2015,13,https://www.rottentomatoes.com/m/champs,
Champs,2015,12,https://www.rottentomatoes.com/m/champs,
Chasing Tyson,2015,11,https://www.rottentomatoes.com/m/chasing_tyson,
Eddie Strongman,2015,12,https://www.rottentomatoes.com/m/eddie_strongman,
Ex Machina,2015,16,https://www.rottentomatoes.com/m/ex_machina,
Face Off,2015,8,https://www.rottentomatoes.com/m/face_off,
Focus,2015,8,https://www.rottentomatoes.com/m/focus,
Froning: The Fittest Man in History,2015,11,https://www.rottentomatoes.com/m/froning_the_fittest_man_in_history,
"Hunger Games, The; The Mockingjay Part 2)",2015,12,https://www.rottentomatoes.com/m/hunger_games_the_the_mockingjay_part_2,
Inspired to Ride,2015,13,https://www.rottentomatoes.com/m/inspired_to_ride,
Kidpoker,2015,11,https://www.rottentomatoes.com/m/kidpoker,
Paddington,2015,16,https://www.rottentomatoes.com/m/paddington,
"Resurrection of Jake The Snake Roberts,The",2015,11,https://www.rottentomatoes.com/m/resurrection_of_jake_the_snake_robertsthe,
Sole Man,2015,13,https://www.rottentomatoes.com/m/sole_man,
Son of a Gun,2015,11,https://www.rottentomatoes.com/m/son_of_a_gun,
Steve Jobs: Man in the Machine,2015,11,https://www.rottentomatoes.com/m/steve_jobs_man_in_the_machine,
The Escort,2015,10,https://www.rottentomatoes.com/m/the_escort,
The Escort,2015,8,https://www.rottentomatoes.com/m/the_escort,
The Great Alone,2015,10,https://www.rottentomatoes.com/m/the_great_alone,
Top Spin,2015,13,https://www.rottentomatoes.com/m/top_spin,
Welcome to Me,2015,11,https://www.rottentomatoes.com/m/welcome_to_me,
Welcome to Me,2015,9,https://www.rottentomatoes.com/m/welcome_to_me,
While We're Young,2015,9,https://www.rottentomatoes.com/m/while_were_young,
Bad Words,2014,14,https://www.rottentomatoes.com/m/bad_words,
Begin Again,2014,12,https://www.rottentomatoes.com/m/begin_again,
Beside Still Waters,2014,10,https://www.rottentomatoes.com/m/beside_still_waters,
Desert Runners,2014,12,https://www.rottentomatoes.com/m/desert_runners,
Dumb & Dumber,2014,14,https://www.rottentomatoes.com/m/dumb_dumber,
Finding Traction,2014,13,https://www.rottentomatoes.com/m/finding_traction,
"Hunger Games, The: The Mockingjay, Part 1",2014,10,https://www.rottentomatoes.com/m/hunger_games_the_the_mockingjay_part_1,
I Know That Voice,2014,12,https://www.rottentomatoes.com/m/i_know_that_voice,
Locke,2014,15,https://www.rottentomatoes.com/m/locke,
