,,,,,,,,,,,,
,Order,Date Film Seen,Film,J-Rayting,Score,Year,Location Seen,Film Format,Film Year,Rotten Tomatoes,Film Length,RT% per minute
,1,1990s,"Godfather, The",A+,20,Pre-2006,London,VHS,1972,100%,175,57%
,2,1990s,Hoop Dreams,A+,20,Pre-2006,Boston,VHS,1994,98%,171,57%
,3,2000s,Almost Famous,A/A+,19,Pre-2006,Palo Alto,DVD,2000,88%,122,72%
,4,1980s,Jaws,A,18,Pre-2006,London,VHS,1975,100%,130,77%
,5,1990s,Goodfellas,A,18,Pre-2006,London,VHS,1990,96%,128,75%
,6,October-10,"Social Network, The",A,18,2010,Peninsula,Theatre,2010,96%,120,80%
,7,February-20,Parasite,A,18,2020,San Fran,Theatre,2019,99%,132,75%
,8,1980s,Stand By Me,A,18,Pre-2006,London,VHS,1986,91%,88,103%
,9,1980s,Ferris Bueller's Day Off,A,18,Pre-2006,London,VHS,1986,84%,103,82%
,10,1980s,Back to the Future,A,18,Pre-2006,London,Theatre,1985,95%,118,81%
,11,1990s,12 Angry Men,A,18,Pre-2006,London,VHS,1957,100%,96,104%
,12,June-02,About A Boy,A,18,Pre-2006,London,Theatre,2002,94%,102,92%
,13,January-08,All About Eve,A,18,2008,Boston,DVD,1950,100%,140,71%
,14,1990s,"American President, The",A,18,Pre-2006,Stanford,Theatre,1995,89%,116,77%
,15,December-01,"Beautiful Mind, A",A,18,Pre-2006,Florida,Theatre,2001,78%,136,57%
,16,April-97,Braveheart,A,18,Pre-2006,Stanford,VHS,1995,76%,177,43%
,17,August-94,Forrest Gump,A,18,Pre-2006,Boston,Theatre,1994,72%,157,46%
,18,October-06,Mystic River,A,18,2006,Boston,DVD,2003,87%,137,64%
,19,1990s,"Philadelphia Story, The",A,18,Pre-2006,London,VHS,1940,100%,176,57%
,20,1990s,"Shawshank Redemption, The",A,18,Pre-2006,Peninsula,DVD,1994,89%,145,61%
,21,1990s,"Sting, The",A,18,Pre-2006,London,VHS,1974,91%,130,70%
,22,September-08,Burn After Reading,A-/A,17,2008,Lafayette,Theatre,2008,78%,96,81%
,23,1990s,"Deer Hunter,The",A-/A,17,Pre-2006,Fresno,VHS,1978,91%,183,50%
,24,1990s,"Godfather II, The",A-/A,17,Pre-2006,London,VHS,1974,98%,200,49%
,25,1990s,"Grapes of Wrath, The",A-/A,17,Pre-2006,London,VHS,1940,100%,129,78%
,26,March-06,In Good Company,A-/A,17,2006,San Fran,DVD,2004,83%,110,75%
,27,July-10,Inception,A-/A,17,2010,Peninsula,Theatre,2010,86%,148,58%
,28,1980s,Indiana Jones and the Last Crusade,A-/A,17,Pre-2006,London,Theatre,1989,89%,126,71%
,29,March-07,"Last King of Scotland, The",A-/A,17,2007,Boston,Theatre,2006,87%,123,71%
,30,1990s,Patton,A-/A,17,Pre-2006,London,VHS,1970,97%,171,57%
,31,1980s,Star Wars II: The Empire Strikes Back,A-/A,17,Pre-2006,London,Theatre,1980,97%,124,78%
,32,May-09,Up,A-/A,17,2009,San Fran,On-Demand/PPV,2009,98%,96,102%
,33,1980s,Adventures in Babysitting,A-,16,Pre-2006,London,Theatre,1987,77%,102,75%
,34,1990s,American History X,A-,16,Pre-2006,London,VHS,1998,81%,118,69%
,35,December-13,American Hustle,A-,16,2013,Florida,Theatre,2013,93%,139,67%
,36,2000s,Batman Begins,A-,16,Pre-2006,San Fran,Theatre,2005,85%,140,61%
,37,1990s,Bedroom Window,A-,16,Pre-2006,London,VHS,1987,86%,113,76%
,38,1980s,Big,A-,16,Pre-2006,Theatre,Boston,1988,96%,98,98%
,39,February-16,"Big Short, The",A-,16,2016,Theatre,Peninsula,2015,88%,130,68%
,40,May-11,Black Swan,A-,16,2011,Peninsula,On-Demand/PPV,2010,87%,108,81%
,41,August-07,"Bourne Ultimatum, The",A-,16,2007,Boston,Theatre,2007,94%,115,82%
,42,July-14,Boyhood,A-,16,2014,San Fran,Theatre,2014,99%,165,60%
,43,November-06,Casino Royale,A-,16,2006,Boston,Theatre,2006,94%,144,65%
,44,5/5/2016,City of God,A-,16,2016,Portola Valley,On-Demand/PPV,2003,90%,130,69%
,45,1990s,Clueless,A-,16,Pre-2006,Boston,Theatre,1995,81%,97,84%
,46,1980s,Crocodile Dundee I,A-,16,Pre-2006,London,Theatre,1986,87%,97,90%
,47,July-08,"Dark Knight, The",A-,16,2008,Hong Kong,Theatre,2008,94%,152,62%
,48,1990s,Dazed and Confused,A-,16,Pre-2006,London,Theatre,1993,93%,103,90%
,49,1980s,Dirty Rotten Scoundrels,A-,16,Pre-2006,London,Theatre,1988,88%,112,79%
,50,November-16,"Edge of Seventeen, The",A-,16,2016,Peninsula,Theatre,2016,94%,98,96%
,51,1990s,Election,A-,16,Pre-2006,Canada,On-Demand/PPV,1999,93%,102,91%
,52,July-15,Ex Machina,A-,16,2015,Peninsula,On-Demand/PPV,2015,92%,108,85%
,53,1990s,"Few Good Men, A",A-,16,Pre-2006,London,Theatre,,,,NA
,54,1980s,"Fish Called Wanda, The",A-,16,Pre-2006,London,Theatre,,,,NA
,55,December-08,Frost/Nixon,A-,16,2008,Florida,Theatre,2008,90%,122,74%
,56,December-14,Frozen,A-,16,2014,Peninsula,Theatre,2013,89%,102,87%
,57,1990s,"Fugitive, The",A-,16,Pre-2006,Boston,Theatre,,,,NA
,58,1990s,Home Alone I,A-,16,Pre-2006,Boston,On-Demand/PPV,,,,NA
,59,1990s,In the Line of Fire,A-,16,Pre-2006,Boston,Theatre,,,,NA
,60,1990s,In The Name of the Father,A-,16,Pre-2006,London,Theatre,,,,NA
,61,February-07,"Inconvenient Truth, An",A-,16,2007,Boston,DVD,,,,NA
,62,July-08,Into The Wild,A-,16,2008,London,DVD,2007,83%,148,56%
,63,March-12,"King of Kong, The",A-,16,2012,London,Netflix,2007,96%,82,117%
,64,February-17,La La Land,A-,16,2017,Peninsula,Theatre,2016,93%,128,73%
,65,February-07,Letters from Iwo Jima,A-,16,2007,Boston,Theatre,,,,NA
,66,April-07,"Lives of Others, The",A-,16,2007,Boston,DVD,,,,NA
,67,2000s,Lord of the Rings I,A-,16,Pre-2006,Steamboat,Theatre,,,,NA
,68,January-17,Mustang,A-,16,2017,Portola Valley,Amazon Instant,2015,98%,97,101%
,69,1980s,No Way Out,A-,16,Pre-2006,London,VHS,,,,NA
,70,1990s,Notting Hill,A-,16,Pre-2006,London,Theatre,,,,NA
,71,7/9/2020,Once Upon A Time In Hollywood,A-,16,2020,Portola Valley,On-Demand/PPV,2019,85%,159,53%
